!SIL 1.0	sil
<UNK> 1.0	spn
dziedzictwa	1.0	dzj e dzj i c t f a
rysowałem	1.0	r i2 s o v a w e m
klepanie	1.0	k l e p a n i e
greckiej	1.0	g r e c k i e j
następstwem	1.0	n a s t eo5 p s t f e m
zgromadzi	1.0	z g r o m a dzj i
zwykłych	1.0	z v i2 k w i2 h
hierarchiczną	1.0	h j e r a r h j tS n oc5
znają	1.0	z n a j oc5
was	1.0	v a s
mógłbyś	1.0	m u g w b i2 sj
kośćmi	1.0	k o sj tsj m i
dobrym	1.0	d o b r i2 m
postawiłabym	1.0	p o s t a v i w a b i2 m
rytm	1.0	r i2 t m
serca	1.0	s e r c a
popełnił	1.0	p o p e w n i w
udziel	1.0	u dzj e l
zamykały	1.0	z a m i2 k a w i2
salazar-	1.0	s a l a z a r
magnes	1.0	m a g n e s
rajdach	1.0	r a j d a h
filmu	1.0	f i l m u
xix	1.0	k s i k s
decyzji	1.0	d e c i2 z j i
poziomie	1.0	p o zj o m i e
istnieniu	1.0	i s t n i e n i u
naraz	1.0	n a r a z
zewnątrz	1.0	z e v n oc5 t S
klasnął	1.0	k l a s n oc5 w
materiał	1.0	m a t e r j a w
grób	1.0	g r u b
fabułą	1.0	f a b u w oc5
czytać	1.0	tS i2 t a tsj
pożyczonych	1.0	p o Z i2 tS o n i2 h
zamilkła	1.0	z a m i l k w a
zastępy	1.0	z a s t eo5 p i2
kogoś	1.0	k o g o sj
schodzisz	1.0	s h o dzj i S
zarejestrowanej	1.0	z a r e j e s t r o v a n e j
tygodniach	1.0	t i2 g o d n i a h
kołysząc	1.0	k o w i2 S oc5 c
opatrznością	1.0	o p a t S n o sj tsj oc5
załóż	1.0	z a w u S
osobistej	1.0	o s o b i s t e j
nałogu	1.0	n a w o g u
jakimi	1.0	j a k i m i
puchatka	1.0	p u h a t k a
dążąc	1.0	d oc5 Z oc5 c
kazać	1.0	k a z a tsj
przejścia	1.0	p S e j sj tsj a
dłonią	1.0	d w o n i oc5
aktorzy	1.0	a k t o Z i2
międzymorza	1.0	m i eo5 dz i2 m o Z a
opętani	1.0	o p eo5 t a n i
należy	1.0	n a l e Z i2
kobrę	1.0	k o b r e
stają	1.0	s t a j oc5
dziadki	1.0	dzj a t k i
prywatne	1.0	p r i2 v a t n e
milczy	1.0	m i l tS i2
czyniłoby	1.0	tS i2 n i w o b i2
samemu	1.0	s a m e m u
straszne	1.0	s t r a S n e
krwiawię	1.0	k r v i a v i e
poznasz	1.0	p o z n a S
przebłagać	1.0	p S e b w a g a tsj
igły	1.0	i g w i2
religii	1.0	r e l j g i i
score	1.0	s c o r e
wieczorem	1.0	v i e tS o r e m
przynieść	1.0	p S i2 n i e sj tsj
wariantów	1.0	v a r j a n t u v
mógłbym	1.0	m u g w b i2 m
zobacz	1.0	z o b a tS
rozpoznawczym	1.0	r o z p o z n a v tS i2 m
lekkim	1.0	l e k k i m
pogładził	1.0	p o g w a dzj i w
te	1.0	t e
dostrzegamy	1.0	d o s t S e g a m i2
zupełnie	1.0	z u p e w n i e
niepokojącą	1.0	n i e p o k o j oc5 c oc5
powie	1.0	p o v i e
kolej	1.0	k o l e j
sięgają	1.0	sj eo5 g a j oc5
linie	1.0	l j n i e
trzeźwo	1.0	t S e zj v o
czas	1.0	tS a s
dnie	1.0	d n i e
rezultat	1.0	r e z u l t a t
duchu	1.0	d u h u
gdzie	1.0	g dzj e
wyuczony	1.0	v i2 u tS o n i2
spłowiałym	1.0	s p w o v i a w i2 m
tchem	1.0	t h e m
swojej	1.0	s v o j e j
czechy	1.0	tS e h i2
współpracownikami	1.0	v s p u w p r a c o v n i k a m i
szpiku	1.0	S p i k u
zależy	1.0	z a l e Z i2
ostatniego	1.0	o s t a t n i e g o
odmiany	1.0	o d m i a n i2
teologiem-	1.0	t e o l o g i e m e
służbowych	1.0	s w u Z b o v i2 h
rajdowi	1.0	r a j d o v i
grubopienne	1.0	g r u b o p i e n n e
skłonni	1.0	s k w o n n i
odratowaniu	1.0	o d r a t o v a n i u
zamierzał	1.0	z a m i e Z a w
sprzecznych	1.0	s p S e tS n i2 h
cały	1.0	c a w i2
zapiski	1.0	z a p i s k i
rys	1.0	r i2 s
przewodnikiem	1.0	p S e v o d n i k i e m
przeboje	1.0	p S e b o j e
planów	1.0	p l a n u v
połączenie	1.0	p o w oc5 tS e n i e
kuligi	1.0	k u l j g i
wyjaśnienie	1.0	v i2 j a sj n i e n i e
ramiona	1.0	r a m i o n a
miesiącu	1.0	m i e tsj oc5 c u
manier	1.0	m a n i e r
osiągnąć	1.0	o tsj oc5 g n oc5 tsj
kątem	1.0	k oc5 t e m
bought	1.0	b o u g h t
liz	1.0	l j z
moja	1.0	m o j a
mówiła	1.0	m u v i w a
sprzedającym	1.0	s p S e d a j oc5 c i2 m
złudzeniem	1.0	z w u dz e n i e m
przyborowski	1.0	p S i2 b o r o v s k i
kochaną	1.0	k o h a n oc5
ł	1.0	w
radzi	1.0	r a dzj i
piguły	1.0	p i g u w i2
tronu	1.0	t r o n u
myślę	1.0	m i2 sj l e
brał	1.0	b r a w
pańskim	1.0	p a n~ s k i m
late	1.0	l a t e
grobu	1.0	g r o b u
niósł	1.0	n i u s w
tam	1.0	t a m
ścieżkami	1.0	sj tsj e Z k a m i
suity	1.0	s u i t i2
ani	1.0	a n i
teorię	1.0	t e o r j e
planie	1.0	p l a n i e
ewangelię	1.0	e v a n g e l j e
przeżyła	1.0	p S e Z i2 w a
jaka	1.0	j a k a
brzmiące	1.0	b Z m i oc5 c e
kim	1.0	k i m
zasłonięty	1.0	z a s w o n i eo5 t i2
trzyma	1.0	t S i2 m a
zarabianie	1.0	z a r a b i a n i e
optyczna	1.0	o p t i2 tS n a
najlepsza	1.0	n a j l e p S a
internetowe	1.0	i n t e r n e t o v e
zbuduje	1.0	z b u d u j e
powinny	1.0	p o v i n n i2
zanadrzu	1.0	z a n a d Z u
rozwoju	1.0	r o z v o j u
mewy	1.0	m e v i2
starości	1.0	s t a r o sj tsj i
przeobraża	1.0	p S e o b r a Z a
bawarskiego	1.0	b a v a r s k i e g o
górę	1.0	g u r e
nowotna	1.0	n o v o t n a
cieniem	1.0	tsj e n i e m
powiedzieć	1.0	p o v i e dzj e tsj
lubię	1.0	l u b i e
polsce	1.0	p o l s c e
nasze	1.0	n a S e
odgrywać	1.0	o d g r i2 v a tsj
bałwochwalców	1.0	b a w v o h v a l c u v
skończyłam	1.0	s k o n~ tS i2 w a m
puścił	1.0	p u sj tsj i w
swoim	1.0	s v o i m
bin	1.0	b i n
powiek	1.0	p o v i e k
ś	1.0	sj
zbliżałeś	1.0	z b l j Z a w e sj
zasadę	1.0	z a s a d e
naturę	1.0	n a t u r e
dowierzałby	1.0	d o v i e Z a w b i2
pędy	1.0	p eo5 d i2
oficer	1.0	o f i c e r
spróbujmy	1.0	s p r u b u j m i2
dostęp	1.0	d o s t eo5 p
przybliżyć	1.0	p S i2 b l j Z i2 tsj
zagadka	1.0	z a g a t k a
czasach	1.0	tS a s a h
mniej	1.0	m n i e j
transformacją	1.0	t r a n s f o r m a c j oc5
śmiechem	1.0	sj m i e h e m
otoczenia	1.0	o t o tS e n i a
wieczornych	1.0	v i e tS o r n i2 h
tuż	1.0	t u S
alianci	1.0	a l j a n tsj i
takim	1.0	t a k i m
najchętniej	1.0	n a j h eo5 t n i e j
obłokami	1.0	o b w o k a m i
byłam	1.0	b i2 w a m
e	1.0	e
burzyki	1.0	b u Z i2 k i
łaby	1.0	w a b i2
strzelby	1.0	s t S e l b i2
sesjach	1.0	s e s j a h
coraz	1.0	c o r a z
nieporozumieniem	1.0	n i e p o r o z u m i e n i e m
oblec	1.0	o b l e c
marzeń	1.0	m a Z e n~
przyźby	1.0	p S i2 zj b i2
sioła	1.0	sj o w a
testament	1.0	t e s t a m e n t
tajemnie	1.0	t a j e m n i e
przeskakiwać	1.0	p S e s k a k i v a tsj
arkuszem	1.0	a r k u S e m
wstrzemięźliwości	1.0	v s t S e m i eo5 zj l j v o sj tsj i
słabszym	1.0	s w a b S i2 m
szczęścia	1.0	S tS eo5 sj tsj a
wejścia	1.0	v e j sj tsj a
zdrowia	1.0	z d r o v i a
zmysły	1.0	z m i2 s w i2
masa	1.0	m a s a
królewskiej	1.0	k r u l e v s k i e j
pośladkami	1.0	p o sj l a t k a m i
claire	1.0	c l a i r e
kanon	1.0	k a n o n
swobody-	1.0	s v o b o d i2
techniki	1.0	t e h n i k i
kazał	1.0	k a z a w
siania	1.0	tsj a n i a
towarzystwie	1.0	t o v a Z i2 s t f i e
wydarł	1.0	v i2 d a r w
ojcowe	1.0	o j c o v e
przedmiot	1.0	p S e d m i o t
jest-	1.0	j e s t
udawało	1.0	u d a v a w o
zostanie	1.0	z o s t a n i e
80	1.0	sj oc5 t
sophią	1.0	s o p h j oc5
również	1.0	r u v n i e S
strażą	1.0	s t r a Z oc5
tłumaczyłam	1.0	t w u m a tS i2 w a m
człowiek	1.0	tS w o v i e k
słuchał	1.0	s w u h a w
wieszczbiarz	1.0	v i e S tS b i a S
przykazania	1.0	p S i2 k a z a n i a
irracjonalne	1.0	i r r a c j o n a l n e
zdrowe	1.0	z d r o v e
jezioro	1.0	j e zj o r o
trudno	1.0	t r u d n o
reżyserii	1.0	r e Z i2 s e r j i
ból	1.0	b u l
dorośnie	1.0	d o r o sj n i e
powoli	1.0	p o v o l j
politycy	1.0	p o l j t i2 c i2
stopień	1.0	s t o p i e n~
śmy	1.0	sj m i2
koronek	1.0	k o r o n e k
wzniosłych	1.0	v z n i o s w i2 h
bramę	1.0	b r a m e
sushi	1.0	s u s h j
świeczki	1.0	sj v i e tS k i
młodzież	1.0	m w o dzj e S
pomocą	1.0	p o m o c oc5
aby	1.0	a b i2
jonathan	1.0	j o n a t h a n
relacją	1.0	r e l a c j oc5
hałaśliwych	1.0	h a w a sj l j v i2 h
portu	1.0	p o r t u
zapłakać-	1.0	z a p w a k a tsj e
stylów	1.0	s t i2 l u v
usuń	1.0	u s u n~
zabić	1.0	z a b i tsj
macho	1.0	m a h o
rzeką	1.0	Z e k oc5
stwierdził	1.0	s t f i e r dzj i w
pochodzą	1.0	p o h o dz oc5
szlify	1.0	S l j f i2
doznań	1.0	d o z n a n~
dwie	1.0	d v i e
prawą	1.0	p r a v oc5
sytuacji	1.0	s i2 t u a c j i
słyszymy	1.0	s w i2 S i2 m i2
czasami	1.0	tS a s a m i
trafiają	1.0	t r a f i a j oc5
muzyki	1.0	m u z i2 k i
agnieszko	1.0	a g n i e S k o
światu	1.0	sj v i a t u
niestety	1.0	n i e s t e t i2
zwierzątko	1.0	z v i e Z oc5 t k o
czekała	1.0	tS e k a w a
trakcie	1.0	t r a k tsj e
radość	1.0	r a d o sj tsj
jakie	1.0	j a k i e
cieszą	1.0	tsj e S oc5
masz	1.0	m a S
rybitwy	1.0	r i2 b i t f i2
wybaczamy	1.0	v i2 b a tS a m i2
muzyckie	1.0	m u z i2 c k i e
pewnych	1.0	p e v n i2 h
służący	1.0	s w u Z oc5 c i2
trudny	1.0	t r u d n i2
bryk	1.0	b r i2 k
mówiło	1.0	m u v i w o
rozszerzonych	1.0	r o z S e Z o n i2 h
aimee	1.0	a j m e e
kup	1.0	k u p
wiekuiście	1.0	v i e k u i sj tsj e
którego	1.0	k t u r e g o
doczekać	1.0	d o tS e k a tsj
ujrzeli	1.0	u j Z e l j
najlepszych	1.0	n a j l e p S i2 h
konstrukcją	1.0	k o n s t r u k c j oc5
być	1.0	b i2 tsj
patrz	1.0	p a t S
jedyny	1.0	j e d i2 n i2
udami	1.0	u d a m i
powiem	1.0	p o v i e m
zgodzić	1.0	z g o dzj i tsj
nieodwzajemnionej	1.0	n i e o d v z a j e m n i o n e j
całe	1.0	c a w e
wpływowi	1.0	v p w i2 v o v i
kaczki	1.0	k a tS k i
nagroda	1.0	n a g r o d a
ekstrawaganckim	1.0	e k s t r a v a g a n c k i m
składamy	1.0	s k w a d a m i2
kalin	1.0	k a l j n
żonę	1.0	Z o n e
władcą	1.0	v w a d c oc5
walkę	1.0	v a l k e
lwa	1.0	l v a
komplement	1.0	k o m p l e m e n t
czym	1.0	tS i2 m
konstrukcji	1.0	k o n s t r u k c j i
towarzystwie-	1.0	t o v a Z i2 s t f i e e
dużym	1.0	d u Z i2 m
ośmiu	1.0	o sj m i u
stworzenie	1.0	s t f o Z e n i e
pokryła	1.0	p o k r i2 w a
samochodów	1.0	s a m o h o d u v
caryca	1.0	c a r i2 c a
fabuła	1.0	f a b u w a
przebaczenia	1.0	p S e b a tS e n i a
drewienka	1.0	d r e v i e n k a
urządza	1.0	u Z oc5 dz a
komedię	1.0	k o m e d j e
szymonem	1.0	S i2 m o n e m
podłóg	1.0	p o d w u g
zacytowane	1.0	z a c i2 t o v a n e
twój	1.0	t f u j
wspólnocie	1.0	v s p u l n o tsj e
spojrzał	1.0	s p o j Z a w
cal-	1.0	c a l
niebieskiej	1.0	n i e b i e s k i e j
wyrzucą	1.0	v i2 Z u c oc5
przebiega	1.0	p S e b i e g a
morze	1.0	m o Z e
biskupom	1.0	b i s k u p o m
facet:-	1.0	f a c e t e
jako	1.0	j a k o
solidnie	1.0	s o l j d n i e
anglii	1.0	a n g l j i
przygotowując	1.0	p S i2 g o t o v u j oc5 c
utworzymy	1.0	u t f o Z i2 m i2
kolejny	1.0	k o l e j n i2
saskiego	1.0	s a s k i e g o
dobrze	1.0	d o b Z e
zbite	1.0	z b i t e
szanują	1.0	S a n u j oc5
poświęciła	1.0	p o sj v i eo5 tsj i w a
piec	1.0	p i e c
kiereję	1.0	k i e r e j e
kwietniu	1.0	k f i e t n i u
zblednąć	1.0	z b l e d n oc5 tsj
żywotność	1.0	Z i2 v o t n o sj tsj
donosy	1.0	d o n o s i2
poszło	1.0	p o S w o
portretowany	1.0	p o r t r e t o v a n i2
napisałem	1.0	n a p i s a w e m
ukrywać	1.0	u k r i2 v a tsj
podobny	1.0	p o d o b n i2
włosów	1.0	v w o s u v
różnych	1.0	r u Z n i2 h
faktyczny	1.0	f a k t i2 tS n i2
obawiasz	1.0	o b a v i a S
zachodnim	1.0	z a h o d n i m
lekko	1.0	l e k k o
raptem	1.0	r a p t e m
witają	1.0	v i t a j oc5
swiętopełk	1.0	s v i eo5 t o p e w k
młodym	1.0	m w o d i2 m
wytępienia	1.0	v i2 t eo5 p i e n i a
odnośnika	1.0	o d n o sj n i k a
instytucją	1.0	i n s t i2 t u c j oc5
lekarz	1.0	l e k a S
mknie	1.0	m k n i e
powieści	1.0	p o v i e sj tsj i
odtworzył	1.0	o d t f o Z i2 w
samotne	1.0	s a m o t n e
odczuwasz	1.0	o d tS u v a S
kilku	1.0	k i l k u
oglądać	1.0	o g l oc5 d a tsj
nieszkodliwe	1.0	n i e S k o d l j v e
pójdę	1.0	p u j d e
zatoki	1.0	z a t o k i
scenografom	1.0	s c e n o g r a f o m
okoliczności	1.0	o k o l j tS n o sj tsj i
groteską	1.0	g r o t e s k oc5
zmienić	1.0	z m i e n i tsj
zestarzałe	1.0	z e s t a Z a w e
strącał	1.0	s t r oc5 c a w
nieszczery	1.0	n i e S tS e r i2
młodszy	1.0	m w o d S i2
skusić	1.0	s k u sj i tsj
dzieciństwie	1.0	dzj e tsj i n~ s t f i e
miejskie	1.0	m i e j s k i e
programu	1.0	p r o g r a m u
kiedy	1.0	k i e d i2
obyczajowych	1.0	o b i2 tS a j o v i2 h
byś	1.0	b i2 sj
24-bitowy	1.0	d tS t b i t o v i2
materialnych	1.0	m a t e r j a l n i2 h
zagłady	1.0	z a g w a d i2
eksperyment	1.0	e k s p e r i2 m e n t
największym	1.0	n a j v i eo5 k S i2 m
zgadując	1.0	z g a d u j oc5 c
manifestują	1.0	m a n i f e s t u j oc5
pokoju	1.0	p o k o j u
krok	1.0	k r o k
okazji	1.0	o k a z j i
szyków	1.0	S i2 k u v
ramienia	1.0	r a m i e n i a
odwodzie	1.0	o d v o dzj e
słowiańskie	1.0	s w o v i a n~ s k i e
ustalonych	1.0	u s t a l o n i2 h
fizyczna	1.0	f i z i2 tS n a
odkładam	1.0	o t k w a d a m
jelenie	1.0	j e l e n i e
zapraszają	1.0	z a p r a S a j oc5
neapol	1.0	n e a p o l
postacią	1.0	p o s t a tsj oc5
arkusz	1.0	a r k u S
misterny	1.0	m i s t e r n i2
niewolę	1.0	n i e v o l e
własną	1.0	v w a s n oc5
najgroźniejszego	1.0	n a j g r o zj n i e j S e g o
terrorysty	1.0	t e r r o r i2 s t i2
trzecie	1.0	t S e tsj e
odwracała	1.0	o d v r a c a w a
tygodnie	1.0	t i2 g o d n i e
perkozy-	1.0	p e r k o z i2
piętrowym	1.0	p i eo5 t r o v i2 m
słychać	1.0	s w i2 h a tsj
wielki	1.0	v i e l k i
przesunął	1.0	p S e s u n oc5 w
westchnienia	1.0	v e s t h n i e n i a
materialny	1.0	m a t e r j a l n i2
gwiazd	1.0	g v i a z d
starodawne	1.0	s t a r o d a v n e
jedynaczki	1.0	j e d i2 n a tS k i
natomiast	1.0	n a t o m i a s t
itp	1.0	i t p
odkrył	1.0	o t k r i2 w
błota	1.0	b w o t a
rozdeptać	1.0	r o z d e p t a tsj
zmierza	1.0	z m i e Z a
samo	1.0	s a m o
dvd	1.0	d f d
trochę	1.0	t r o h e
hitlera	1.0	h j t l e r a
żyjący	1.0	Z i2 j oc5 c i2
opizzoni	1.0	o p i z z o n i
fascynacje	1.0	f a s c i2 n a c j e
grube	1.0	g r u b e
efektem	1.0	e f e k t e m
męką	1.0	m eo5 k oc5
miłością	1.0	m i w o sj tsj oc5
myślą	1.0	m i2 sj l oc5
mobilizują	1.0	m o b i l j z u j oc5
reliefu	1.0	r e l j e f u
istotne	1.0	i s t o t n e
wypróbowanego	1.0	v i2 p r u b o v a n e g o
prywatnych	1.0	p r i2 v a t n i2 h
okazując	1.0	o k a z u j oc5 c
wspomina	1.0	v s p o m i n a
perspektywę	1.0	p e r s p e k t i2 v e
plecach	1.0	p l e c a h
płaczu	1.0	p w a tS u
10	1.0	s t o
biblioteki	1.0	b i b l j o t e k i
ucierpiałaby	1.0	u tsj e r p i a w a b i2
ścianę	1.0	sj tsj a n e
wyraz	1.0	v i2 r a z
wielkich	1.0	v i e l k i h
prawej	1.0	p r a v e j
zamyślił	1.0	z a m i2 sj l j w
zmusza	1.0	z m u S a
piasku	1.0	p i a s k u
oznajmia	1.0	o z n a j m i a
podstawy	1.0	p o d s t a v i2
śmieszną	1.0	sj m i e S n oc5
ściągał	1.0	sj tsj oc5 g a w
m.in	1.0	m i n
stalowej	1.0	s t a l o v e j
nadziei	1.0	n a dzj e i
bycia	1.0	b i2 tsj a
młodzieży	1.0	m w o dzj e Z i2
obalił	1.0	o b a l j w
pasji	1.0	p a s j i
podobnymi	1.0	p o d o b n i2 m i
ociąga	1.0	o tsj oc5 g a
stwierdzam	1.0	s t f i e r dz a m
godzin	1.0	g o dzj i n
odpowiedź	1.0	o d p o v i e dzj
checzy	1.0	h e tS i2
dużej	1.0	d u Z e j
lubisz	1.0	l u b i S
łosich	1.0	w o sj i h
